Date,Rolling_SomersD
1962-07-01,-0.6851851851851852
1962-08-01,-0.5475113122171945
1962-09-01,-0.4285714285714286
1962-10-01,-0.3155555555555556
1962-11-01,-0.2142857142857144
1962-12-01,-0.25
1963-01-01,-0.2589285714285714
1963-02-01,-0.25
1963-03-01,-0.25
1963-04-01,-0.2410714285714286
1963-05-01,-0.2321428571428571
1963-06-01,-0.2321428571428571
1963-07-01,-0.2232142857142858
1963-08-01,-0.2232142857142858
1963-09-01,-0.2232142857142858
1963-10-01,-0.2767857142857144
1963-11-01,-0.2946428571428572
1963-12-01,-0.3482142857142858
1964-01-01,-0.4196428571428571
1964-02-01,-0.3866666666666667
1964-03-01,-0.3482142857142857
1964-04-01,-0.2941176470588236
1964-05-01,-0.2407407407407407
1964-06-01,-0.16746411483253587
1964-07-01,-0.07999999999999996
1964-08-01,0.02645502645502651
1964-09-01,0.15909090909090917
1964-10-01,0.329192546583851
1964-11-01,0.5555555555555556
1964-12-01,0.8719999999999999
1965-01-01,0.9230769230769231
1965-02-01,0.925925925925926
1965-03-01,0.9285714285714286
1965-04-01,0.9310344827586208
1965-05-01,
1965-06-01,
1965-07-01,
1965-08-01,
1965-09-01,
1965-10-01,
1965-11-01,
1965-12-01,
1966-01-01,
1966-02-01,
1966-03-01,
1966-04-01,
1966-05-01,
1966-06-01,
1966-07-01,
1966-08-01,
1966-09-01,
1966-10-01,
1966-11-01,
1966-12-01,
1967-01-01,
1967-02-01,
1967-03-01,
1967-04-01,
1967-05-01,
1967-06-01,
1967-07-01,
1967-08-01,
1967-09-01,
1967-10-01,
1967-11-01,
1967-12-01,
1968-01-01,
1968-02-01,
1968-03-01,
1968-04-01,
1968-05-01,
1968-06-01,
1968-07-01,
1968-08-01,
1968-09-01,
1968-10-01,
1968-11-01,
1968-12-01,
1969-01-01,
1969-02-01,
1969-03-01,
1969-04-01,
1969-05-01,
1969-06-01,
1969-07-01,0.4482758620689655
1969-08-01,0.4285714285714286
1969-09-01,0.40740740740740744
1969-10-01,0.23076923076923084
1969-11-01,0.040000000000000036
1969-12-01,-0.04166666666666674
1970-01-01,0.11801242236024834
1970-02-01,0.011363636363636243
1970-03-01,0.015873015873015817
1970-04-01,0.030000000000000027
1970-05-01,0.16746411483253598
1970-06-01,0.23148148148148162
1970-07-01,0.2760180995475112
1970-08-01,0.2857142857142856
1970-09-01,0.288888888888889
1970-10-01,0.2857142857142856
1970-11-01,0.27601809954751144
1970-12-01,0.3055555555555556
1971-01-01,0.2685185185185184
1971-02-01,0.12962962962962954
1971-03-01,-0.0092592592592593
1971-04-01,-0.09259259259259267
1971-05-01,-0.20370370370370383
1971-06-01,-0.2870370370370371
1971-07-01,-0.39814814814814825
1971-08-01,-0.43518518518518523
1971-09-01,-0.5092592592592593
1971-10-01,-0.5185185185185186
1971-11-01,-0.5462962962962963
1971-12-01,-0.5833333333333334
1972-01-01,-0.5927601809954751
1972-02-01,-0.5982142857142858
1972-03-01,-0.6
1972-04-01,-0.5982142857142858
1972-05-01,-0.5927601809954751
1972-06-01,-0.5833333333333333
1972-07-01,-0.5789473684210527
1972-08-01,-0.5599999999999999
1972-09-01,-0.5343915343915344
1972-10-01,-0.5
1972-11-01,-0.4658385093167702
1972-12-01,-0.38888888888888884
1973-01-01,-0.344
1973-02-01,-0.3076923076923077
1973-03-01,-0.28395061728395055
1973-04-01,-0.5555555555555556
1973-05-01,-0.7777777777777778
1973-06-01,-0.9506172839506173
