Date,C_Index
1984-06-01,
1984-07-01,
1984-08-01,
1984-09-01,
1984-10-01,
1984-11-01,
1984-12-01,
1985-01-01,
1985-02-01,
1985-03-01,
1985-04-01,
1985-05-01,
1985-06-01,
1985-07-01,
1985-08-01,
1985-09-01,
1985-10-01,
1985-11-01,
1985-12-01,
1986-01-01,
1986-02-01,
1986-03-01,
1986-04-01,
1986-05-01,
1986-06-01,
1986-07-01,
1986-08-01,
1986-09-01,
1986-10-01,
1986-11-01,
1986-12-01,
1987-01-01,
1987-02-01,
1987-03-01,
1987-04-01,
1987-05-01,
1987-06-01,
1987-07-01,
1987-08-01,
1987-09-01,0.9830508474576272
1987-10-01,0.9827586206896551
1987-11-01,0.9824561403508771
1987-12-01,0.9821428571428571
1988-01-01,0.9818181818181818
1988-02-01,0.9818181818181818
1988-03-01,0.9818181818181818
1988-04-01,0.9818181818181818
1988-05-01,0.9818181818181818
1988-06-01,0.9818181818181818
1988-07-01,0.9818181818181818
1988-08-01,0.9818181818181818
1988-09-01,0.9818181818181818
1988-10-01,0.9818181818181818
1988-11-01,0.9818181818181818
1988-12-01,0.9818181818181818
1989-01-01,0.9818181818181818
1989-02-01,0.9818181818181818
1989-03-01,0.9818181818181818
1989-04-01,0.9818181818181818
1989-05-01,0.9818181818181818
1989-06-01,0.9818181818181818
1989-07-01,0.9818181818181818
1989-08-01,0.9818181818181818
1989-09-01,0.9818181818181818
1989-10-01,0.9818181818181818
1989-11-01,0.9818181818181818
1989-12-01,0.9818181818181818
1990-01-01,0.9818181818181818
1990-02-01,0.9818181818181818
1990-03-01,0.9818181818181818
1990-04-01,0.9818181818181818
1990-05-01,0.9818181818181818
1990-06-01,0.9818181818181818
1990-07-01,0.9818181818181818
1990-08-01,0.9818181818181818
1990-09-01,0.9818181818181818
1990-10-01,0.9818181818181818
1990-11-01,0.9818181818181818
1990-12-01,0.9818181818181818
1991-01-01,0.9818181818181818
1991-02-01,0.9818181818181818
1991-03-01,0.9818181818181818
1991-04-01,0.9818181818181818
1991-05-01,0.9818181818181818
1991-06-01,0.9818181818181818
1991-07-01,0.9818181818181818
1991-08-01,0.9818181818181818
1991-09-01,0.9818181818181818
1991-10-01,0.9818181818181818
1991-11-01,0.9818181818181818
1991-12-01,0.9818181818181818
1992-01-01,0.9818181818181818
1992-02-01,0.9818181818181818
1992-03-01,0.9818181818181818
1992-04-01,0.9818181818181818
1992-05-01,0.9818181818181818
1992-06-01,0.9818181818181818
1992-07-01,0.9818181818181818
1992-08-01,1.0
1992-09-01,
1992-10-01,
1992-11-01,
1992-12-01,
1993-01-01,
1993-02-01,
1993-03-01,
1993-04-01,
1993-05-01,
1993-06-01,
1993-07-01,
1993-08-01,
1993-09-01,
1993-10-01,
1993-11-01,
1993-12-01,
1994-01-01,
1994-02-01,
1994-03-01,
1994-04-01,
1994-05-01,
1994-06-01,
1994-07-01,
1994-08-01,
1994-09-01,
1994-10-01,
1994-11-01,
1994-12-01,
1995-01-01,
1995-02-01,
1995-03-01,
1995-04-01,
1995-05-01,
1995-06-01,
1995-07-01,
1995-08-01,
1995-09-01,
1995-10-01,
1995-11-01,
1995-12-01,
1996-01-01,
1996-02-01,
1996-03-01,
1996-04-01,
1996-05-01,
1996-06-01,
1996-07-01,
1996-08-01,
1996-09-01,
1996-10-01,
1996-11-01,
1996-12-01,
1997-01-01,
1997-02-01,
1997-03-01,
1997-04-01,
1997-05-01,
1997-06-01,
1997-07-01,
1997-08-01,
1997-09-01,
1997-10-01,
1997-11-01,
1997-12-01,
1998-01-01,
1998-02-01,
1998-03-01,
1998-04-01,
1998-05-01,
1998-06-01,
1998-07-01,
1998-08-01,
1998-09-01,
1998-10-01,
1998-11-01,
1998-12-01,
1999-01-01,
1999-02-01,
1999-03-01,
1999-04-01,
1999-05-01,
1999-06-01,
1999-07-01,
1999-08-01,
1999-09-01,
1999-10-01,
1999-11-01,
1999-12-01,
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,0.3898305084745763
2000-10-01,0.3793103448275862
2000-11-01,0.3684210526315789
2000-12-01,0.35714285714285715
2001-01-01,0.34545454545454546
2001-02-01,0.3333333333333333
2001-03-01,0.32075471698113206
2001-04-01,0.3076923076923077
2001-05-01,0.29411764705882354
2001-06-01,0.28
2001-07-01,0.2653061224489796
2001-08-01,0.25
2001-09-01,0.23404255319148937
2001-10-01,0.21739130434782608
2001-11-01,0.2
2001-12-01,0.18181818181818182
2002-01-01,0.16279069767441862
2002-02-01,0.14285714285714285
2002-03-01,0.12195121951219512
2002-04-01,0.1
2002-05-01,0.07692307692307693
2002-06-01,0.05263157894736842
2002-07-01,0.02702702702702703
2002-08-01,0.027777777777777776
2002-09-01,0.02857142857142857
2002-10-01,0.029411764705882353
2002-11-01,0.030303030303030304
2002-12-01,0.03125
2003-01-01,0.03225806451612903
2003-02-01,0.03333333333333333
2003-03-01,0.034482758620689655
2003-04-01,0.03571428571428571
2003-05-01,0.037037037037037035
2003-06-01,0.038461538461538464
2003-07-01,0.04
2003-08-01,0.041666666666666664
2003-09-01,0.043478260869565216
2003-10-01,0.045454545454545456
2003-11-01,0.047619047619047616
2003-12-01,0.05
2004-01-01,0.05263157894736842
2004-02-01,0.05555555555555555
2004-03-01,0.058823529411764705
2004-04-01,0.0625
2004-05-01,0.06666666666666667
2004-06-01,0.07142857142857142
2004-07-01,0.07692307692307693
2004-08-01,0.08333333333333333
2004-09-01,0.09090909090909091
2004-10-01,0.1
2004-11-01,0.1111111111111111
2004-12-01,0.125
2005-01-01,0.14285714285714285
2005-02-01,0.16666666666666666
2005-03-01,0.2
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,0.12727272727272726
2007-12-01,0.12727272727272726
2008-01-01,0.12727272727272726
2008-02-01,0.12727272727272726
2008-03-01,0.12727272727272726
2008-04-01,0.12962962962962962
2008-05-01,0.1320754716981132
2008-06-01,0.1346153846153846
2008-07-01,0.13725490196078433
2008-08-01,0.14
2008-09-01,0.14285714285714285
2008-10-01,0.14583333333333334
2008-11-01,0.14893617021276595
2008-12-01,0.15217391304347827
2009-01-01,0.15555555555555556
2009-02-01,0.1590909090909091
2009-03-01,0.16279069767441862
2009-04-01,0.16666666666666666
2009-05-01,0.19047619047619047
2009-06-01,0.21428571428571427
2009-07-01,0.23809523809523808
2009-08-01,0.2619047619047619
2009-09-01,0.2857142857142857
2009-10-01,0.30952380952380953
2009-11-01,0.3333333333333333
2009-12-01,0.35714285714285715
2010-01-01,0.38095238095238093
2010-02-01,0.40476190476190477
2010-03-01,0.42857142857142855
2010-04-01,0.4523809523809524
2010-05-01,0.47619047619047616
2010-06-01,0.5
2010-07-01,0.5238095238095238
2010-08-01,0.5476190476190477
2010-09-01,0.5714285714285714
2010-10-01,0.5952380952380952
2010-11-01,0.6190476190476191
2010-12-01,0.6190476190476191
2011-01-01,0.6190476190476191
2011-02-01,0.6428571428571429
2011-03-01,0.6666666666666666
2011-04-01,0.6904761904761905
2011-05-01,0.7142857142857143
2011-06-01,0.7142857142857143
2011-07-01,0.7142857142857143
2011-08-01,0.7142857142857143
2011-09-01,0.7142857142857143
2011-10-01,0.7142857142857143
2011-11-01,0.7380952380952381
2011-12-01,0.7619047619047619
2012-01-01,0.7857142857142857
2012-02-01,0.8095238095238095
2012-03-01,0.8333333333333334
2012-04-01,0.8571428571428571
2012-05-01,0.8809523809523809
2012-06-01,0.9047619047619048
2012-07-01,0.9285714285714286
2012-08-01,0.9523809523809523
2012-09-01,0.9523809523809523
2012-10-01,0.9523809523809523
2012-11-01,
2012-12-01,
2013-01-01,
2013-02-01,
2013-03-01,
2013-04-01,
2013-05-01,
2013-06-01,
2013-07-01,
2013-08-01,
2013-09-01,
2013-10-01,
2013-11-01,
2013-12-01,
2014-01-01,
2014-02-01,
2014-03-01,
2014-04-01,
2014-05-01,
2014-06-01,
2014-07-01,
2014-08-01,
2014-09-01,
2014-10-01,
2014-11-01,
2014-12-01,
2015-01-01,
2015-02-01,
2015-03-01,
2015-04-01,
2015-05-01,
2015-06-01,
2015-07-01,
2015-08-01,
2015-09-01,
2015-10-01,
2015-11-01,
2015-12-01,
2016-01-01,
2016-02-01,
2016-03-01,
2016-04-01,
2016-05-01,
2016-06-01,
2016-07-01,
2016-08-01,
2016-09-01,
2016-10-01,
2016-11-01,
2016-12-01,
2017-01-01,
2017-02-01,
2017-03-01,
2017-04-01,
2017-05-01,
2017-06-01,
2017-07-01,
2017-08-01,
2017-09-01,
2017-10-01,
2017-11-01,
2017-12-01,
2018-01-01,
2018-02-01,
2018-03-01,
2018-04-01,
2018-05-01,
2018-06-01,
2018-07-01,
2018-08-01,
2018-09-01,
2018-10-01,
2018-11-01,
2018-12-01,
2019-01-01,
2019-02-01,
2019-03-01,
2019-04-01,
2019-05-01,
2019-06-01,
2019-07-01,
2019-08-01,
2019-09-01,
2019-10-01,
2019-11-01,
2019-12-01,
2020-01-01,
2020-02-01,
2020-03-01,
2020-04-01,
2020-05-01,
2020-06-01,
2020-07-01,
2020-08-01,
2020-09-01,
2020-10-01,
2020-11-01,
2020-12-01,
2021-01-01,
2021-02-01,
2021-03-01,
2021-04-01,
2021-05-01,
2021-06-01,
2021-07-01,
2021-08-01,
2021-09-01,
2021-10-01,
2021-11-01,
2021-12-01,
2022-01-01,0.847457627118644
2022-02-01,0.8448275862068966
2022-03-01,0.8421052631578947
2022-04-01,0.8392857142857143
2022-05-01,0.8363636363636363
2022-06-01,0.8333333333333334
2022-07-01,0.8301886792452831
2022-08-01,0.8269230769230769
2022-09-01,0.8235294117647058
2022-10-01,0.82
2022-11-01,0.8163265306122449
2022-12-01,0.8125
2023-01-01,0.8085106382978723
2023-02-01,0.8260869565217391
2023-03-01,0.8222222222222222
2023-04-01,0.8181818181818182
2023-05-01,0.813953488372093
2023-06-01,0.8095238095238095
2023-07-01,0.8048780487804879
2023-08-01,0.8
2023-09-01,0.7948717948717948
2023-10-01,0.7894736842105263
2023-11-01,0.7837837837837838
2023-12-01,0.7777777777777778
2024-01-01,0.7714285714285715
2024-02-01,0.7647058823529411
2024-03-01,0.7575757575757576
2024-04-01,0.75
2024-05-01,0.7419354838709677
2024-06-01,0.7333333333333333
2024-07-01,0.7241379310344828
2024-08-01,0.7142857142857143
2024-09-01,0.7037037037037037
2024-10-01,0.6923076923076923
2024-11-01,0.68
2024-12-01,0.6666666666666666
2025-01-01,0.6956521739130435
2025-02-01,0.6818181818181818
2025-03-01,0.6666666666666666
2025-04-01,0.65
2025-05-01,0.631578947368421
2025-06-01,0.6111111111111112
2025-07-01,0.5882352941176471
2025-08-01,0.5625
2025-09-01,0.5333333333333333
2025-10-01,0.5
2025-11-01,0.46153846153846156
2025-12-01,0.4166666666666667
