Date,Rolling_SomersD
1962-07-01,0.6944444444444444
1962-08-01,0.7013574660633484
1962-09-01,0.7053571428571428
1962-10-01,0.7066666666666668
1962-11-01,0.7053571428571428
1962-12-01,0.5982142857142856
1963-01-01,0.4910714285714286
1963-02-01,0.4642857142857144
1963-03-01,0.4464285714285714
1963-04-01,0.3035714285714286
1963-05-01,0.1607142857142858
1963-06-01,0.017857142857142794
1963-07-01,0.0
1963-08-01,-0.0267857142857143
1963-09-01,-0.017857142857142794
1963-10-01,-0.008928571428571397
1963-11-01,-0.1428571428571428
1963-12-01,-0.0535714285714286
1964-01-01,0.03571428571428581
1964-02-01,0.09333333333333327
1964-03-01,0.1428571428571428
1964-04-01,0.25791855203619907
1964-05-01,0.37037037037037046
1964-06-01,0.40669856459330145
1964-07-01,0.43999999999999995
1964-08-01,0.47089947089947093
1964-09-01,0.4545454545454546
1964-10-01,0.4906832298136645
1964-11-01,0.5277777777777777
1964-12-01,0.6320000000000001
1965-01-01,0.6923076923076923
1965-02-01,0.7037037037037037
1965-03-01,0.7142857142857144
1965-04-01,0.7241379310344827
1965-05-01,
1965-06-01,
1965-07-01,
1965-08-01,
1965-09-01,
1965-10-01,
1965-11-01,
1965-12-01,
1966-01-01,
1966-02-01,
1966-03-01,
1966-04-01,
1966-05-01,
1966-06-01,
1966-07-01,
1966-08-01,
1966-09-01,
1966-10-01,
1966-11-01,
1966-12-01,
1967-01-01,
1967-02-01,
1967-03-01,
1967-04-01,
1967-05-01,
1967-06-01,
1967-07-01,
1967-08-01,
1967-09-01,
1967-10-01,
1967-11-01,
1967-12-01,
1968-01-01,
1968-02-01,
1968-03-01,
1968-04-01,
1968-05-01,
1968-06-01,
1968-07-01,
1968-08-01,
1968-09-01,
1968-10-01,
1968-11-01,
1968-12-01,
1969-01-01,
1969-02-01,
1969-03-01,
1969-04-01,
1969-05-01,
1969-06-01,
1969-07-01,0.5862068965517242
1969-08-01,0.6428571428571428
1969-09-01,0.6296296296296298
1969-10-01,0.6153846153846154
1969-11-01,0.472
1969-12-01,0.5972222222222223
1970-01-01,0.7142857142857142
1970-02-01,0.75
1970-03-01,0.82010582010582
1970-04-01,0.8800000000000001
1970-05-01,0.9330143540669855
1970-06-01,0.9444444444444446
1970-07-01,0.9547511312217194
1970-08-01,0.9553571428571428
1970-09-01,0.9555555555555557
1970-10-01,0.9553571428571428
1970-11-01,0.9547511312217196
1970-12-01,0.9537037037037037
1971-01-01,0.8981481481481481
1971-02-01,0.7685185185185186
1971-03-01,0.6388888888888888
1971-04-01,0.5092592592592593
1971-05-01,0.34259259259259256
1971-06-01,0.17592592592592582
1971-07-01,0.0092592592592593
1971-08-01,-0.11111111111111116
1971-09-01,-0.2314814814814815
1971-10-01,-0.35185185185185186
1971-11-01,-0.44444444444444453
1971-12-01,-0.5555555555555556
1972-01-01,-0.5565610859728507
1972-02-01,-0.5625
1972-03-01,-0.5644444444444445
1972-04-01,-0.5625
1972-05-01,-0.5565610859728506
1972-06-01,-0.5462962962962963
1972-07-01,-0.5598086124401913
1972-08-01,-0.55
1972-09-01,-0.5343915343915343
1972-10-01,-0.5113636363636364
1972-11-01,-0.49068322981366463
1972-12-01,-0.4027777777777778
1973-01-01,-0.43999999999999995
1973-02-01,-0.48076923076923084
1973-03-01,-0.5555555555555556
1973-04-01,-0.8518518518518519
1973-05-01,-0.9259259259259259
1973-06-01,-1.0
1973-07-01,-0.9615384615384616
1973-08-01,-0.968
1973-09-01,-0.9444444444444444
1973-10-01,-0.9254658385093167
1973-11-01,-0.9318181818181818
1973-12-01,-0.8412698412698413
1974-01-01,-0.76
1974-02-01,-0.6076555023923444
1974-03-01,-0.4814814814814814
1974-04-01,-0.4117647058823528
1974-05-01,-0.3214285714285715
1974-06-01,-0.26222222222222225
1974-07-01,-0.1785714285714286
1974-08-01,-0.10407239819004532
1974-09-01,-0.03703703703703698
1974-10-01,0.04306220095693769
1974-11-01,0.10000000000000009
1974-12-01,0.1534391534391535
1975-01-01,0.20454545454545459
1975-02-01,0.26708074534161486
1975-03-01,0.3472222222222223
1975-04-01,0.42400000000000015
1975-05-01,0.5
1975-06-01,0.5555555555555558
1975-07-01,0.6428571428571428
1975-08-01,0.6551724137931034
1975-09-01,
1975-10-01,
1975-11-01,
1975-12-01,
1976-01-01,
1976-02-01,0.7931034482758621
1976-03-01,0.8571428571428572
1976-04-01,0.9259259259259258
1976-05-01,0.9423076923076923
1976-06-01,0.952
1976-07-01,0.9583333333333335
1976-08-01,0.9503105590062113
1976-09-01,0.9545454545454546
1976-10-01,0.9576719576719577
1976-11-01,0.96
1976-12-01,0.8599999999999999
1977-01-01,0.7600000000000002
1977-02-01,0.6600000000000001
1977-03-01,0.6000000000000001
1977-04-01,0.6000000000000001
1977-05-01,0.6000000000000001
1977-06-01,0.6000000000000001
1977-07-01,0.6000000000000001
1977-08-01,0.6000000000000001
1977-09-01,0.6000000000000001
1977-10-01,0.6000000000000001
1977-11-01,0.6000000000000001
1977-12-01,0.6000000000000001
1978-01-01,0.6000000000000001
1978-02-01,0.6000000000000001
1978-03-01,0.6000000000000001
1978-04-01,0.6000000000000001
1978-05-01,0.6000000000000001
1978-06-01,0.6000000000000001
1978-07-01,0.6200000000000001
1978-08-01,0.6296296296296298
1978-09-01,0.6363636363636362
1978-10-01,0.5900621118012421
1978-11-01,0.5833333333333335
1978-12-01,0.6159999999999999
1979-01-01,0.504
1979-02-01,0.5519999999999998
1979-03-01,0.5839999999999999
1979-04-01,0.6000000000000001
1979-05-01,0.6000000000000001
